age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
28~53,*,83311~338409,*,7~14,*,*,*,*,*,0,0,13~40,*, <=50k
28~53,*,83311~338409,*,7~14,*,*,*,*,*,0,0,13~40,*, <=50k
28~53,*,83311~338409,*,7~14,*,*,*,*,*,0,0,13~40,*, <=50k
28~53,*,83311~338409,*,7~14,*,*,*,*,*,0,0,13~40,*, <=50k
28~53,*,83311~338409,*,7~14,*,*,*,*,*,0,0,13~40,*, <=50k
31~52,*,45781~280464,*,5~14,*,*,*,*,*,0~14084,0,16~80,*, <=50k
31~52,*,45781~280464,*,5~14,*,*,*,*,*,0~14084,0,16~80,*, >50k
31~52,*,45781~280464,*,5~14,*,*,*,*,*,0~14084,0,16~80,*, >50k
31~52,*,45781~280464,*,5~14,*,*,*,*,*,0~14084,0,16~80,*, >50k
31~52,*,45781~280464,*,5~14,*,*,*,*,*,0~14084,0,16~80,*, >50k
23~40,*,121772~245487,*,4~13,*,*,*,*,*,0,0,30~50,*, >50k
23~40,*,121772~245487,*,4~13,*,*,*,*,*,0,0,30~50,*, <=50k
23~40,*,121772~245487,*,4~13,*,*,*,*,*,0,0,30~50,*, <=50k
23~40,*,121772~245487,*,4~13,*,*,*,*,*,0,0,30~50,*, >50k
23~40,*,121772~245487,*,4~13,*,*,*,*,*,0,0,30~50,*, <=50k
25~43,*,28887~292175,*,7~16,*,*,*, White,*,0,0,35~60, United-States, <=50k
25~43,*,28887~292175,*,7~16,*,*,*, White,*,0,0,35~60, United-States, <=50k
25~43,*,28887~292175,*,7~16,*,*,*, White,*,0,0,35~60, United-States, <=50k
25~43,*,28887~292175,*,7~16,*,*,*, White,*,0,0,35~60, United-States, >50k
25~43,*,28887~292175,*,7~16,*,*,*, White,*,0,0,35~60, United-States, >50k
35~59,*,76845~302146,*,5~13,*,*,*,*,*,0,0~2042,20~40, United-States, <=50k
35~59,*,76845~302146,*,5~13,*,*,*,*,*,0,0~2042,20~40, United-States, <=50k
35~59,*,76845~302146,*,5~13,*,*,*,*,*,0,0~2042,20~40, United-States, <=50k
35~59,*,76845~302146,*,5~13,*,*,*,*,*,0,0~2042,20~40, United-States, <=50k
35~59,*,76845~302146,*,5~13,*,*,*,*,*,0,0~2042,20~40, United-States, >50k
19~54,*,168294~367260,*,9~12,*,*,*,*, Male,0,0,40~80,*, <=50k
19~54,*,168294~367260,*,9~12,*,*,*,*, Male,0,0,40~80,*, >50k
19~54,*,168294~367260,*,9~12,*,*,*,*, Male,0,0,40~80,*, <=50k
19~54,*,168294~367260,*,9~12,*,*,*,*, Male,0,0,40~80,*, <=50k
19~54,*,168294~367260,*,9~12,*,*,*,*, Male,0,0,40~80,*, <=50k
20~48,*,59951~386940,*,7~13,*,*,*,*, Male,0,0~1408,15~44,*, <=50k
20~48,*,59951~386940,*,7~13,*,*,*,*, Male,0,0~1408,15~44,*, <=50k
20~48,*,59951~386940,*,7~13,*,*,*,*, Male,0,0~1408,15~44,*, <=50k
20~48,*,59951~386940,*,7~13,*,*,*,*, Male,0,0~1408,15~44,*, <=50k
20~48,*,59951~386940,*,7~13,*,*,*,*, Male,0,0~1408,15~44,*, <=50k
19~48,*,84154~544091,*,5~12,*,*,*, White,*,0,0,25~43,*, <=50k
19~48,*,84154~544091,*,5~12,*,*,*, White,*,0,0,25~43,*, <=50k
19~48,*,84154~544091,*,5~12,*,*,*, White,*,0,0,25~43,*, >50k
19~48,*,84154~544091,*,5~12,*,*,*, White,*,0,0,25~43,*, <=50k
19~48,*,84154~544091,*,5~12,*,*,*, White,*,0,0,25~43,*, <=50k
24~57,*,88506~337895,*,9~13,*,*,*,*,*,0,0,35~50, United-States, <=50k
24~57,*,88506~337895,*,9~13,*,*,*,*,*,0,0,35~50, United-States, <=50k
24~57,*,88506~337895,*,9~13,*,*,*,*,*,0,0,35~50, United-States, <=50k
24~57,*,88506~337895,*,9~13,*,*,*,*,*,0,0,35~50, United-States, <=50k
24~57,*,88506~337895,*,9~13,*,*,*,*,*,0,0,35~50, United-States, >50k
25~53,*,32275~271466,*,9~14,*,*,*,*,*,0,0,38~43, United-States, <=50k
25~53,*,32275~271466,*,9~14,*,*,*,*,*,0,0,38~43, United-States, <=50k
25~53,*,32275~271466,*,9~14,*,*,*,*,*,0,0,38~43, United-States, <=50k
25~53,*,32275~271466,*,9~14,*,*,*,*,*,0,0,38~43, United-States, <=50k
25~53,*,32275~271466,*,9~14,*,*,*,*,*,0,0,38~43, United-States, <=50k
18~50,*,51835~251585,*,9~15,*,*,*, White,*,0,0~1902,30~60,*, <=50k
18~50,*,51835~251585,*,9~15,*,*,*, White,*,0,0~1902,30~60,*, >50k
18~50,*,51835~251585,*,9~15,*,*,*, White,*,0,0~1902,30~60,*, >50k
18~50,*,51835~251585,*,9~15,*,*,*, White,*,0,0~1902,30~60,*, <=50k
18~50,*,51835~251585,*,9~15,*,*,*, White,*,0,0~1902,30~60,*, >50k
30~46, Private,56352~216666,*,3~13, Married-civ-spouse,*, Husband, White, Male,0~5013,0,40~48,*, <=50k
30~46, Private,56352~216666,*,3~13, Married-civ-spouse,*, Husband, White, Male,0~5013,0,40~48,*, <=50k
30~46, Private,56352~216666,*,3~13, Married-civ-spouse,*, Husband, White, Male,0~5013,0,40~48,*, <=50k
30~46, Private,56352~216666,*,3~13, Married-civ-spouse,*, Husband, White, Male,0~5013,0,40~48,*, <=50k
30~46, Private,56352~216666,*,3~13, Married-civ-spouse,*, Husband, White, Male,0~5013,0,40~48,*, <=50k
29~48,*,105598~293936,*,4~16,*,*,*, White, Male,0,0,40~58,*, <=50k
29~48,*,105598~293936,*,4~16,*,*,*, White, Male,0,0,40~58,*, <=50k
29~48,*,105598~293936,*,4~16,*,*,*, White, Male,0,0,40~58,*, >50k
29~48,*,105598~293936,*,4~16,*,*,*, White, Male,0,0,40~58,*, <=50k
29~48,*,105598~293936,*,4~16,*,*,*, White, Male,0,0,40~58,*, <=50k
19~53,*,101509~200681,*,9~10,*,*,*, White,*,0,0,32~50, United-States, <=50k
19~53,*,101509~200681,*,9~10,*,*,*, White,*,0,0,32~50, United-States, >50k
19~53,*,101509~200681,*,9~10,*,*,*, White,*,0,0,32~50, United-States, >50k
19~53,*,101509~200681,*,9~10,*,*,*, White,*,0,0,32~50, United-States, <=50k
19~53,*,101509~200681,*,9~10,*,*,*, White,*,0,0,32~50, United-States, <=50k
23~79,*,124744~309974,*,9~13,*,*,*,*,*,0,0,20~70,*, <=50k
23~79,*,124744~309974,*,9~13,*,*,*,*,*,0,0,20~70,*, >50k
23~79,*,124744~309974,*,9~13,*,*,*,*,*,0,0,20~70,*, <=50k
23~79,*,124744~309974,*,9~13,*,*,*,*,*,0,0,20~70,*, <=50k
23~79,*,124744~309974,*,9~13,*,*,*,*,*,0,0,20~70,*, <=50k
18~67,*,32214~446839,*,4~12,*,*,*, White,*,0,0,2~40, United-States, <=50k
18~67,*,32214~446839,*,4~12,*,*,*, White,*,0,0,2~40, United-States, <=50k
18~67,*,32214~446839,*,4~12,*,*,*, White,*,0,0,2~40, United-States, <=50k
18~67,*,32214~446839,*,4~12,*,*,*, White,*,0,0,2~40, United-States, <=50k
18~67,*,32214~446839,*,4~12,*,*,*, White,*,0,0,2~40, United-States, <=50k
44~59, Private,51618~346253,*,9~13,*,*,*, White,*,0~14344,0,35~48,*, <=50k
44~59, Private,51618~346253,*,9~13,*,*,*, White,*,0~14344,0,35~48,*, <=50k
44~59, Private,51618~346253,*,9~13,*,*,*, White,*,0~14344,0,35~48,*, <=50k
44~59, Private,51618~346253,*,9~13,*,*,*, White,*,0~14344,0,35~48,*, >50k
44~59, Private,51618~346253,*,9~13,*,*,*, White,*,0~14344,0,35~48,*, <=50k
30~57,*,54334~410867,*,5~16,*,*,*, White,*,0,0,40~50, United-States, >50k
30~57,*,54334~410867,*,5~16,*,*,*, White,*,0,0,40~50, United-States, <=50k
30~57,*,54334~410867,*,5~16,*,*,*, White,*,0,0,40~50, United-States, <=50k
30~57,*,54334~410867,*,5~16,*,*,*, White,*,0,0,40~50, United-States, >50k
30~57,*,54334~410867,*,5~16,*,*,*, White,*,0,0,40~50, United-States, <=50k
28~37,*,115585~286730,*,9~13,*,*,*,*,*,0,0~1573,25~50,*, <=50k
28~37,*,115585~286730,*,9~13,*,*,*,*,*,0,0~1573,25~50,*, <=50k
28~37,*,115585~286730,*,9~13,*,*,*,*,*,0,0~1573,25~50,*, <=50k
28~37,*,115585~286730,*,9~13,*,*,*,*,*,0,0~1573,25~50,*, >50k
28~37,*,115585~286730,*,9~13,*,*,*,*,*,0,0~1573,25~50,*, <=50k
32~76,*,124191~249409,*,9~16,*,*,*,*,*,0,0~1902,40~60,*, >50k
32~76,*,124191~249409,*,9~16,*,*,*,*,*,0,0~1902,40~60,*, >50k
32~76,*,124191~249409,*,9~16,*,*,*,*,*,0,0~1902,40~60,*, <=50k
32~76,*,124191~249409,*,9~16,*,*,*,*,*,0,0~1902,40~60,*, <=50k
32~76,*,124191~249409,*,9~16,*,*,*,*,*,0,0~1902,40~60,*, >50k
20~47,*,103432~317660,*,9~14,*,*,*, White,*,0~15024,0,40~60, United-States, >50k
20~47,*,103432~317660,*,9~14,*,*,*, White,*,0~15024,0,40~60, United-States, <=50k
20~47,*,103432~317660,*,9~14,*,*,*, White,*,0~15024,0,40~60, United-States, <=50k
20~47,*,103432~317660,*,9~14,*,*,*, White,*,0~15024,0,40~60, United-States, <=50k
20~47,*,103432~317660,*,9~14,*,*,*, White,*,0~15024,0,40~60, United-States, >50k
17~42,*,124692~432376,*,6~13,*,*,*, White,*,0~34095,0,32~40, United-States, <=50k
17~42,*,124692~432376,*,6~13,*,*,*, White,*,0~34095,0,32~40, United-States, <=50k
17~42,*,124692~432376,*,6~13,*,*,*, White,*,0~34095,0,32~40, United-States, <=50k
17~42,*,124692~432376,*,6~13,*,*,*, White,*,0~34095,0,32~40, United-States, <=50k
17~42,*,124692~432376,*,6~13,*,*,*, White,*,0~34095,0,32~40, United-States, <=50k
28~56,*,65324~377869,*,5~15,*,*,*, White,*,0~4064,0~1887,25~50,*, >50k
28~56,*,65324~377869,*,5~15,*,*,*, White,*,0~4064,0~1887,25~50,*, >50k
28~56,*,65324~377869,*,5~15,*,*,*, White,*,0~4064,0~1887,25~50,*, <=50k
28~56,*,65324~377869,*,5~15,*,*,*, White,*,0~4064,0~1887,25~50,*, <=50k
28~56,*,65324~377869,*,5~15,*,*,*, White,*,0~4064,0~1887,25~50,*, <=50k
21~56,*,102632~303090,*,9~11,*,*,*,*,*,0,0,40~56, United-States, <=50k
21~56,*,102632~303090,*,9~11,*,*,*,*,*,0,0,40~56, United-States, >50k
21~56,*,102632~303090,*,9~11,*,*,*,*,*,0,0,40~56, United-States, <=50k
21~56,*,102632~303090,*,9~11,*,*,*,*,*,0,0,40~56, United-States, <=50k
21~56,*,102632~303090,*,9~11,*,*,*,*,*,0,0,40~56, United-States, <=50k
19~47,*,77143~301606,*,10~13,*,*,*,*,*,0,0,35~60,*, <=50k
19~47,*,77143~301606,*,10~13,*,*,*,*,*,0,0,35~60,*, <=50k
19~47,*,77143~301606,*,10~13,*,*,*,*,*,0,0,35~60,*, >50k
19~47,*,77143~301606,*,10~13,*,*,*,*,*,0,0,35~60,*, <=50k
19~47,*,77143~301606,*,10~13,*,*,*,*,*,0,0,35~60,*, >50k
20~39,*,69621~365739,*,9~12,*,*,*, White,*,0,0~1719,28~60, United-States, <=50k
20~39,*,69621~365739,*,9~12,*,*,*, White,*,0,0~1719,28~60, United-States, >50k
20~39,*,69621~365739,*,9~12,*,*,*, White,*,0,0~1719,28~60, United-States, <=50k
20~39,*,69621~365739,*,9~12,*,*,*, White,*,0,0~1719,28~60, United-States, <=50k
20~39,*,69621~365739,*,9~12,*,*,*, White,*,0,0~1719,28~60, United-States, <=50k
